timestamp,open,high,low,close,volume,quote_volume,day_of_week,day_of_month,month,year,daily_return,log_return,close_lag_1,close_lag_7,volume_lag_1,volume_lag_7,close_rolling_mean_7,close_rolling_std_7,close_rolling_mean_14,close_rolling_std_14,volume_rolling_mean_7,volume_rolling_std_7,volume_rolling_mean_14,volume_rolling_std_14
2014-06-02,649.79,662.63,625.46,655.49,4134.25,2650871.52,0,2,6,2014,0.008772064820942171,0.008733813791244846,649.79,582.01,3552.12,2958.74,607.2714285714285,39.008142495540056,566.4764285714285,56.05228501581804,4137.045714285714,982.7870714937387,3273.6664285714287,1207.2595015323384
2014-06-03,655.49,676.47,631.42,669.43,4360.3,2883100.21,1,3,6,2014,0.02126653343300422,0.021043556469111,655.49,570.1,4134.25,3353.12,621.4614285714285,41.23568698290782,579.6807142857143,57.038443913433746,4280.928571428572,920.6528102281302,3449.4649999999997,1170.3353976449528
2014-06-04,669.43,669.78,602.1,638.93,5597.3,3601867.65,2,4,6,2014,-0.04556114903724062,-0.04663170181533801,669.43,570.84,4360.3,3569.69,631.1885714285714,34.83913528804955,590.4014285714286,52.582070336561614,4570.587142857143,976.8374479532462,3749.6421428571425,1141.3906811306888
2014-06-05,638.93,665.39,635.59,660.18,2761.43,1825395.47,3,5,6,2014,0.033258729438279566,0.032717622898845104,638.93,564.42,5597.3,3734.36,644.8685714285714,19.811848667376132,600.7457142857141,50.90196999577267,4431.597142857143,1166.4629291682659,3723.7107142857144,1160.6481549910231
2014-06-06,660.18,663.84,647.12,650.41,6035.98,3978265.23,4,6,6,2014,-0.014798994213699235,-0.014909591840720339,660.18,612.35,2761.43,6205.87,650.3057142857142,13.670944684673128,610.1971428571429,46.46512197809829,4407.327142857143,1124.402918674534,3957.4492857142855,1276.182263697617
2014-06-07,650.41,659.77,641.02,651.67,1968.61,1298892.32,5,7,6,2014,0.0019372395873371584,0.001935365558632527,650.41,627.91,6035.98,4409.91,653.6999999999999,9.495730619597548,619.5692857142857,39.71496762300955,4058.5699999999997,1453.8228548668972,3893.9592857142857,1354.804236959741
2014-06-08,651.67,658.88,648.67,651.05,3313.68,2167689.11,6,8,6,2014,-0.0009514017831110388,-0.000951854653051123,651.67,649.79,1968.61,3552.12,653.88,9.420907599587334,625.3271428571428,37.84363607277698,4024.5071428571428,1470.365766396402,3996.8114285714287,1239.3797261152429
2014-06-09,651.05,652.12,639.08,644.35,3258.34,2126014.84,0,9,6,2014,-0.01029106827432602,-0.01034438744033709,651.05,655.49,3313.68,4134.25,652.2885714285713,10.025145765474473,629.78,35.976203032218145,3899.3771428571426,1496.5080966337866,4018.2114285714283,1222.5491555815606
2014-06-10,644.35,661.44,641.68,655.62,3558.54,2340867.13,1,10,6,2014,0.017490494296577896,0.017339296076308783,644.35,669.43,3258.34,4360.3,650.3157142857143,6.988633288280326,635.8885714285714,32.11677200398639,3784.8399999999997,1485.996168557197,4032.884285714286,1215.1631991421773
2014-06-11,655.62,663.04,642.28,642.95,3800.84,2491455.0,2,11,6,2014,-0.019325218876788286,-0.019514392094260938,655.62,638.93,3558.54,5597.3,650.89,5.991057224449671,641.0392857142857,26.101076742978613,3528.202857142857,1258.5251993598747,4049.395,1209.9446891283915
2014-06-12,642.95,643.8,591.12,597.13,4586.48,2928622.01,3,12,6,2014,-0.07126526168442349,-0.07393211558523534,642.95,660.18,3800.84,2761.43,641.8828571428572,20.212577531729078,643.3757142857143,19.290385295145526,3788.9242857142854,1262.2396971238231,4110.260714285714,1214.3028488457214
